Submit,클래스,교과명,클래스 Number,클래스 P,"공백, 무의미한 단어 제거","공백, 무의미한 단어",전공자,비전공자,대학생,대학원생,직장인,창업 준비생,취업 준비생,,,,,,,,,,지역,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,총,최종학력 빈칸,업무경력 O,,,,업무경력 X,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,고등학교,"대학교(2,3년제)",대학교(4년),대학원(석박사),고등학교,"대학교(2,3년)",대학교(4년),대학원(석박사),강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도
5270,AIP 1기,AI 웹 서비스 심화,140,2.66%,113,27,43,70,20,4,8,2,78,,0,0,26,3,2,2,36,9,0,34,1,2,0,1,2,5,62,1,0,5,0,0,0,1,1
,AIW 1기,AI 웹 서비스,533,10.11%,339,194,53,286,56,5,98,36,100,,9,10,24,8,8,9,26,6,8,97,9,11,6,10,8,18,130,1,5,16,4,6,6,2,6
,AOS 3기,앱 개발_Android,156,2.96%,105,51,57,48,37,0,9,2,48,,0,5,10,0,9,4,20,0,4,31,5,2,0,1,2,3,35,0,2,13,1,0,2,3,1
,BEBj 13기,웹 백엔드 개발_Java,260,4.93%,180,80,82,98,71,0,13,4,77,,5,5,15,1,13,3,35,0,2,56,7,4,7,5,5,10,53,0,0,18,2,5,1,1,6
,BES 9기,백엔드 부트캠프,668,12.68%,362,306,103,259,92,1,41,9,164,,25,7,26,3,22,12,68,1,8,101,14,17,11,16,11,12,110,1,7,18,9,9,2,16,7
,BESJ 7기,웹 백엔드 개발_Java,478,9.07%,332,146,172,160,85,1,8,0,215,,10,11,39,0,17,23,113,2,5,118,11,4,7,6,8,7,109,2,6,21,5,8,2,8,6
,BESP 11기,백엔드부트캠프 심화과정,237,4.50%,149,88,51,98,41,2,14,7,71,,5,3,11,0,8,11,31,2,1,54,9,5,6,5,3,3,42,2,1,9,3,1,0,2,4
,BESP 12기,백엔드부트캠프 심화과정,201,3.81%,126,75,30,96,29,3,26,9,41,,0,1,12,3,3,7,15,0,0,43,1,6,2,6,5,2,43,0,1,8,1,1,1,4,2
,CLD 1기,클라우드 엔지니어링,263,4.99%,188,75,95,93,62,3,23,1,78,,2,4,18,0,11,6,37,0,4,61,4,5,1,4,3,5,74,2,2,13,2,0,1,1,4
,CLD 2기,클라우드 엔지니어링,271,5.14%,184,87,95,89,35,0,20,2,110,,5,7,39,1,3,7,45,3,0,54,4,2,6,3,6,9,82,2,3,8,0,0,0,4,2
,FES 10기,웹 프론트엔드 개발,268,5.09%,197,71,55,142,30,0,18,7,133,,3,8,36,0,18,15,53,0,5,61,6,2,6,6,2,7,74,0,2,14,4,5,0,2,4
,FES 11기,웹 프론트엔드 개발,294,5.58%,178,116,56,122,45,1,19,2,96,,7,5,26,3,8,8,39,0,0,59,6,4,2,6,6,11,69,0,2,8,1,2,4,3,0
,FES 12기,웹 프론트엔드 개발,268,5.09%,173,95,59,114,47,0,13,2,94,,5,8,24,0,19,7,31,0,0,58,5,4,2,4,7,7,63,2,1,10,2,3,0,5,2
,FES 13기,웹 프론트엔드 개발,446,8.46%,258,188,89,169,83,1,14,4,148,6,8,8,39,0,16,11,58,2,6,85,4,3,3,9,9,15,87,0,6,21,4,3,1,4,2
,IOS 5기,iOS 앱개발 부트캠프,263,4.99%,172,91,46,126,28,2,24,11,96,,4,9,23,1,14,6,37,2,4,49,4,3,4,2,5,5,66,0,1,14,3,2,3,5,3
,IOS 6기,iOS 앱개발 부트캠프,269,5.10%,165,104,47,118,39,2,31,4,82,,7,7,24,0,19,4,21,0,8,58,6,3,4,6,0,4,51,0,2,14,2,3,0,3,4
,IOS 7기,iOS 앱개발 부트캠프,221,4.19%,150,71,57,93,36,1,23,9,72,,4,2,20,1,8,6,30,1,3,42,2,6,5,5,4,7,55,0,4,10,1,1,2,3,2
,,,5236,,3371,개수 일치,1190,2181,836,26,402,111,1703,6,99,100,412,24,198,141,695,28,58,1061,98,83,72,95,86,130,1205,13,45,220,44,49,25,67,56
,,,,,,,,,공백/추가지원 제외하고 개수 일치하는 것 확인,3078,,,,,635,,,,1062,,,,3407,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.3741897466,,,0.6258102534,,,,,수도권,2486,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,비수도권,921,,,,,,,,,,,,,,
,,,,,,,,"
1) 업무 경력이 없는 대학 졸업생이라 배울 수 없는 곳은 없지만, 도움이 필요하거나 경험 쌓을 곳이 필요하다
2) 업무 경력이 있지만 커리어를 전환하거나 이직하기 위해 교육이 필요하다
3) 비전공자이지만 IT 직무 취업을 희망하는 취업반 대학생
4) 프로젝트 경험과 포트폴리오 작성을 위한 교육이 필요한 IT 전공 대학생
5) 취업 스펙도 쌓고 다양한 정보(커뮤니티)를 얻고 싶어하는 처음 취업 준비하는 사회 초년생",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
