나이,성별,근무경력,경력O_연차,부트캠프경험,경험O_기업,멋사_선택이유,장점
27,남성,아니오,,있다,"스파르타 코딩클럽, 패스트캠퍼스",수강 기간이 상대적으로 짧아서(4개월),상대적으로 짧은 수강 기간(4개월)
24,여성,아니오,,없다,,강의 일정이 개인 일정과 맞았기 때문에,수강생 네트워킹
24,남성,네,5,있다,"스파르타 코딩클럽, 코드잇, 패스트캠퍼스, 제로베이스",실무 프로젝트 경험을 해보고 싶어서,강사의 강의력
23,여성,아니오,,없다,,수강 기간이 상대적으로 짧아서(4개월),실무 프로젝트 경험
29,남성,네,3,없다,,그로스/퍼포먼스 마케팅 관련 분야를 찾아봤을 때 멋사만 진행하고 있어서 ,자기 부담비 0원
23,여성,아니오,,있다,패스트캠퍼스,커리큘럼이 좋아서,실무 프로젝트 경험
24,여성,아니오,,있다,코드잇,강사 이력을 보고,수강생 네트워킹
22,여성,아니오,,없다,,자기 부담비가 0원이었기 때문에,자기 부담비 0원
23,여성,아니오,,없다,,실무 프로젝트 경험을 해보고 싶어서,실무 프로젝트 경험
25,여성,아니오,,있다,"멀티잇(멀티캠퍼스), 패스트캠퍼스, 모두의 연구소",실무 프로젝트 경험을 해보고 싶어서,실무 프로젝트 경험
26,여성,네,2,없다,,커리큘럼이 좋아서,자기 부담비 0원
30,여성,네,5,없다,,실무 프로젝트 경험을 해보고 싶어서,실무 프로젝트 경험
28,남성,네,5,있다,"패스트캠퍼스, 제로베이스",취업 연계라는 베네핏을 보고,실무 프로젝트 경험
23,여성,아니오,,있다,코드잇,수강 기간이 상대적으로 짧아서(4개월),실무 프로젝트 경험
33,남성,네,3,있다,하이미디어아카데미,취업 연계라는 베네핏을 보고,상대적으로 짧은 수강 기간(4개월)
28,남성,아니오,,없다,,강의 일정이 개인 일정과 맞았기 때문에,상대적으로 짧은 수강 기간(4개월)
23,여성,아니오,,없다,,실무 프로젝트 경험을 해보고 싶어서,실무 프로젝트 경험
23,남성,아니오,,있다,패스트캠퍼스,그로스마케팅을 다루는 멋사 그로스마케팅 부트캠프 외에는 거의 없었고 1기라는 점이 특수해서,자기 부담비 0원
29,여성,아니오,,없다,,수강 기간이 상대적으로 짧아서(4개월),자기 부담비 0원
25,여성,아니오,,있다,"스파르타 코딩클럽, 코드잇",강의 일정이 개인 일정과 맞았기 때문에,실무 프로젝트 경험
25,남성,아니오,,없다,,이력서/포트폴리오 첨삭 등 취업 지원 프로그램,상대적으로 짧은 수강 기간(4개월)
26,여성,아니오,,없다,,커리큘럼이 좋아서,수강생 네트워킹
24,여성,아니오,,없다,,자기 부담비가 0원이었기 때문에,수강생 네트워킹
30,남성,네,1,없다,,실무 프로젝트 경험을 해보고 싶어서,강사의 강의력
27,남성,네,0.5년차,없다,,커리큘럼이 좋아서,강사의 강의력
25,여성,아니오,,없다,,수강 기간이 상대적으로 짧아서(4개월),강사의 강의력
25,여성,아니오,,있다,"스파르타 코딩클럽, 패스트캠퍼스",커리큘럼이 좋아서,강사의 강의력
28,남성,아니오,,있다,"스파르타 코딩클럽, 앨리스코딩, 코드잇",커리큘럼이 좋아서,실무 프로젝트 경험
29,남성,네,2,있다,"패스트캠퍼스, 스마트인재개발원",강의 일정이 개인 일정과 맞았기 때문에,강사의 강의력
25,남성,아니오,,없다,,그로스마케팅에 대해 배우고 싶어서(다른 곳은 그로스마케팅 과정이 없었음),강사의 강의력
33,여성,네,7,없다,,강의 일정이 개인 일정과 맞았기 때문에,실무 프로젝트 경험
28,남성,네,1,있다,패스트캠퍼스,주변 후기들이 좋았다.,자기 부담비 0원
24,여성,아니오,,없다,,수강 기간이 상대적으로 짧아서(4개월),실무 프로젝트 경험
27,남성,아니오,,없다,,강의 일정이 개인 일정과 맞았기 때문에,실무 프로젝트 경험
25,여성,네,2,있다,"앨리스코딩, 패스트캠퍼스",실무 프로젝트 경험을 해보고 싶어서,실무 프로젝트 경험
