Ad Impressions,Watch Time (sec),SNS Shared,"Ad Type (0=Banner, 1=Video)",Clicked Ad
49,27.304039103464028,0,0,1
17,24.240678897196588,0,1,0
98,6.481540950350616,1,1,1
70,13.998233540916477,1,0,1
70,24.50169607675634,0,1,1
98,2.0215366435656756,0,0,0
65,11.621777570059779,0,0,1
74,25.555237106218428,1,0,1
85,12.116935925103713,0,1,1
5,2.328439341943226,0,0,0
2,16.276031055967543,0,0,0
22,25.85227484754886,0,1,1
57,17.708566288594792,1,1,1
66,6.788373246426954,1,1,1
74,11.52718860412144,0,0,0
98,13.503700835457966,0,0,0
16,17.377990614615804,1,1,0
51,22.78053077257839,1,0,0
39,2.9662085292190623,0,1,0
86,26.689560990526992,1,1,1
76,0.3692910904822677,1,0,0
88,11.101570040227656,0,0,1
40,0.8226092991797296,1,1,0
38,11.789226760358737,1,1,0
60,15.774377966199713,0,1,1
59,15.350441597445352,0,1,1
10,4.96885041084796,1,0,0
99,19.37221530286837,0,1,1
64,1.3433535151400466,1,1,1
63,22.857204603972463,0,1,1
49,28.399333019806388,1,0,1
64,10.193064814533537,0,0,0
32,15.517181451429957,1,1,0
7,11.367308341764431,1,0,0
21,0.20131170912179863,1,0,0
20,11.576235086853478,0,0,0
26,23.751607777840395,0,1,0
68,17.879665265504453,1,1,1
86,3.037797438454768,1,0,1
15,25.414184690813553,0,1,0
85,15.932560346557285,0,1,1
79,25.25170085234028,0,0,0
86,17.40664556355088,0,0,1
92,16.790653345138196,0,1,1
14,3.1577755559103715,0,0,0
27,5.020791994158839,1,1,1
40,29.160757694897733,0,1,1
58,6.854602402643123,1,0,0
28,29.32356353971104,0,1,1
26,15.957381195727901,0,1,1
63,4.073671411918114,1,0,0
66,2.9790660826107884,1,0,1
25,6.265922121172199,0,0,0
3,27.769119900760074,1,1,0
72,12.424506729846804,1,0,1
44,11.86302803978743,1,0,1
97,9.39618783210522,1,0,1
42,4.411855516997651,0,0,0
99,14.635535915772193,1,1,1
6,3.9014334753341604,0,1,0
39,25.06440709146983,0,0,0
52,11.111909588259195,0,1,1
23,11.24410703345389,0,0,0
89,14.220192854494677,1,0,1
50,13.323831394972549,1,1,1
43,29.845739191779646,0,1,1
19,16.361433636549076,0,0,0
69,2.646051113696121,0,0,0
51,18.2063202473079,0,1,1
11,4.547528786096398,1,0,0
12,0.9281293419402592,0,1,0
74,29.122264610317444,1,0,1
8,23.206166746036917,0,0,0
24,29.403269772413008,0,1,1
92,14.336353440667274,0,1,1
41,15.967725934469284,0,1,0
36,5.050108677573907,1,1,1
85,7.407222800027568,1,1,1
72,25.156476447084845,1,1,1
55,10.685569413527825,0,1,0
9,24.80444921389257,0,0,0
47,21.270411728610952,1,0,0
15,5.315127758155965,1,0,0
48,15.223390983592264,0,1,1
82,20.321619645561505,0,1,1
42,7.051116444114753,1,1,1
60,24.920655315602307,0,0,1
84,16.344829726355606,0,1,1
70,4.957261513278096,1,1,1
12,17.489532784938074,0,0,0
2,29.991414124677423,1,1,1
7,4.515644749902407,0,0,0
80,24.502707903585843,1,0,1
3,6.219270095626738,0,1,0
3,23.47164988380262,1,1,0
27,22.037337693642396,1,1,1
40,9.014681568012971,1,0,0
33,9.774693526933495,1,0,0
92,23.775641758887573,0,0,1
1,13.84336535661938,0,1,0
8,21.924540861354263,1,1,1
32,4.439524420975043,0,1,1
48,25.576733457046604,0,1,1
4,21.326541500469574,0,0,0
94,27.208284265045016,0,0,1
70,3.9711713710491736,0,0,1
19,17.79043501081793,1,0,0
32,17.973617551209756,1,1,1
9,10.603822216403474,1,1,0
12,13.753992737077734,1,1,0
