Ad Spend ($),Website Visits,Social Media Interactions,Discount Offered,Converted
1935.2465823520763,551,19,0,1
4758.500101408589,1008,14,1,1
3686.770314875885,1218,132,0,1
3033.4265725654795,1274,339,1,1
864.4913381679389,978,362,0,1
864.373149647393,1797,127,1,1
384.6096996241774,510,303,1,1
4344.263114297182,781,406,0,1
3045.4635575417233,801,168,1,1
3569.555631200623,974,312,0,1
200.86402204943198,958,237,0,1
4852.558275593772,1631,374,0,1
4178.968939922066,1620,225,1,1
1140.4616423235532,1326,445,1,1
990.942339314793,439,193,0,1
998.6820982818257,1667,24,0,1
1590.7869905017349,932,166,1,1
2671.306514997965,305,145,0,1
2216.530591346367,758,270,0,1
1527.0227869704054,1888,166,1,1
3098.0791841396594,1994,56,0,1
783.519917195005,499,333,1,1
1531.5087778225688,59,341,0,1
1895.1730321390894,873,182,1,1
2334.742922663476,847,139,0,1
3947.362210825767,1315,420,0,1
1078.4015325759628,1324,104,1,1
2619.748748226697,926,124,0,1
3002.831387424008,1078,252,1,1
327.60702232798883,1192,429,0,1
3076.969774317048,1065,301,1,1
935.5682060677285,1874,291,1,1
418.75280562786963,423,308,1,1
4749.539132541333,1138,292,1,1
4831.59696206534,195,78,0,1
4061.1470057706597,273,157,0,1
1592.6074689495163,1312,20,1,1
578.593358631281,226,263,1,1
3452.741829909569,1852,339,1,1
2256.7472193240465,902,369,0,1
697.9873507394162,1355,47,0,0
2526.366859545224,112,143,0,1
268.50375346457014,1290,209,0,1
4555.6699701860325,1927,32,1,1
1368.0219098400828,876,312,1,1
3346.3591933345115,844,355,1,1
1627.3842728381137,738,311,0,1
2648.3333037712728,1534,372,0,1
2778.8803687820705,1683,405,0,1
1005.7868320750825,154,227,1,1
4850.9646760463365,1172,150,1,1
3898.150834469461,560,113,0,1
4703.544813664526,434,455,1,1
4484.6540170954795,454,219,0,1
3029.7098961743172,872,482,0,1
4617.183751613273,567,490,1,1
533.6132600544056,525,120,0,1
1060.3160258538114,758,113,1,1
321.61371566163655,1936,325,0,1
1694.1186207399953,1718,180,1,1
2004.518719478462,1943,469,1,1
1429.61025569209,820,365,1,1
4160.813794844454,1510,333,0,1
1848.0913007985876,1096,142,0,1
1476.5790974681656,1046,385,1,1
2759.2108074754174,1638,302,1,1
790.5287023763369,726,337,0,1
4030.7652056947945,763,136,0,1
465.298154030877,1531,115,0,0
4935.745989342535,132,101,1,1
3883.9993695536214,1218,296,0,1
1073.7068395174447,1158,387,0,1
127.05837390565176,1151,402,1,1
4095.7609994286872,506,60,0,1
3563.600984853324,1951,38,0,1
3672.135123400838,50,471,0,1
3879.2246987611343,100,305,1,1
462.81879349704275,734,306,1,0
1856.4820698669357,766,223,1,1
667.7583916731356,1845,276,1,1
4329.206786790408,1519,416,1,1
3154.160821455034,498,266,1,1
1721.400321777981,930,311,1,1
411.4359164015158,537,110,0,0
1623.8133764067447,1873,414,0,1
1693.3982779310604,83,355,1,1
3675.0702738565137,1421,119,0,1
3224.0316096405445,144,429,0,1
4447.342438624,1145,191,1,1
2413.8531332935518,1624,480,0,1
686.0118050976783,203,322,0,0
3594.8994573926757,299,10,0,1
3827.8467382227973,723,328,0,1
2850.2582680905316,487,447,0,1
3877.7391817773487,167,64,1,1
2519.5984221855147,820,380,1,1
2661.390863971771,1964,433,1,1
2194.9509899568934,1379,408,0,1
224.5537210460664,317,158,1,1
