Visits Per Month,Avg Purchase Amount ($),Customer Support Calls,Used Discount,Churn
7,293.64379879870376,4,0,0
20,224.8523202788626,3,0,0
29,339.2928062946477,9,1,0
15,170.79480706261864,7,0,0
11,85.97039219659466,5,1,0
8,491.1020352721602,5,1,0
29,421.07741601398806,7,1,0
21,431.5982629727209,6,1,0
7,132.6231666527734,9,0,1
26,29.02901987041737,9,0,1
19,158.60010218987918,7,1,0
23,273.17038932636115,1,1,0
11,170.05910848006002,8,0,0
11,415.65581185591844,0,1,0
24,143.05602875167352,7,0,0
21,482.9733968914772,3,1,0
4,234.059929190727,3,0,0
8,422.59130675587085,4,1,0
24,105.24621665748778,7,1,0
3,211.56341347777249,4,0,0
22,352.76098327592496,7,1,0
21,77.79301528472267,9,1,0
2,75.0452568990552,0,0,0
24,485.0730648859379,9,1,0
12,360.15160104817653,8,0,0
6,30.123083216259136,5,0,1
2,205.42224170794933,2,1,0
28,222.4251614145636,7,1,0
21,374.5808950695665,8,1,0
1,132.921658399864,5,1,1
12,100.32350042237132,6,1,0
26,49.62775364242686,0,1,0
22,219.8740927206528,4,1,0
29,347.36495137502953,4,0,0
12,38.514861799137364,9,1,1
25,458.45472653697544,3,0,0
17,226.75259256824117,5,1,0
27,127.49580598712758,6,1,0
27,55.997912139832955,8,0,1
10,99.6043385825806,0,1,0
28,467.96085869645776,5,1,0
28,322.7525909832417,6,0,0
16,263.1811661390177,2,1,0
15,331.9845509650818,7,1,0
15,223.47972035216662,4,1,0
19,367.7192651152911,8,0,0
12,33.380902568907906,4,1,0
23,287.3582331420974,8,1,0
20,87.7367593448206,9,1,1
25,68.88067742476467,3,1,0
3,177.52103669103678,8,0,1
5,54.98154224858652,4,0,0
19,56.13692425159446,9,1,1
7,162.59252160173415,8,1,1
21,489.96015902453917,2,0,0
9,95.91183224577588,3,0,0
7,18.408939897557616,8,1,0
18,384.04856727191634,9,0,0
4,405.3873587548819,5,1,0
25,179.6891173338064,1,0,0
28,237.6901683404096,6,0,0
14,328.38910449495404,1,0,0
18,33.548872856546524,1,0,0
26,475.0814084797791,0,1,0
9,444.4733897760433,2,0,0
26,137.83787543743983,5,0,0
