Customer_ID,Page_Visits,Ad_Clicks,Purchases,Revenue,Session_Duration,Bounce_Rate,Email_Opens,Loyalty_Score
1,385,164,14,8601,20,25.224102017336158,44,7.324487318380898
2,694,131,21,6917,21,75.50419287462783,32,5.483205837264242
3,371,73,36,8810,104,46.053949727414,16,1.279882085335864
4,568,136,41,1648,58,84.19985528900615,5,8.821356142820601
5,900,97,11,5681,31,72.84906771616131,3,3.9344784656359155
6,150,123,46,6938,110,77.64474464997247,19,8.278683753221728
7,896,70,48,1392,100,65.61618376810715,47,7.8771301552770865
8,927,169,41,1413,11,17.742876946970686,46,6.24425446471728
9,127,196,37,9021,52,54.502691889693835,26,4.94481131295093
10,286,13,17,3302,15,98.46697395245081,14,9.79550840381757
11,735,49,44,9021,83,93.73880664971189,5,1.4496507237981704
12,229,60,34,429,7,4.317373579701167,46,7.251557275511148
13,914,130,29,4527,115,16.481481572943714,13,1.91190701464789
14,35,188,23,3312,28,13.172877345456191,10,3.382631053323484
15,530,5,41,7867,51,72.59799099852955,38,3.0869874337319523
16,792,172,29,9710,107,81.77853298569451,8,9.47035987738723
17,19,27,13,7880,58,21.35113663106719,25,9.673561777882751
18,993,160,5,5703,5,50.5852692951829,15,1.8301544423472715
19,387,149,2,777,5,84.07030280112,4,0.22035160297504186
20,642,8,15,2054,94,73.28015447662506,9,7.200080396631131
21,646,50,6,1559,118,54.223720549184826,49,4.1798993387048435
22,691,67,13,9966,96,59.03476904587729,2,0.8884024508756438
23,593,44,8,6150,8,50.83605469162799,12,6.8375410557704255
24,161,125,14,3726,64,29.754845131882057,42,5.451055282606997
25,729,58,20,4491,10,56.50219928590161,48,9.80516822001106
26,58,3,34,7908,38,68.88853020500906,29,2.274094958613789
27,163,86,1,6558,111,87.33229158608077,44,4.039778763265483
28,868,70,26,2303,96,63.629135397924806,5,5.425458033954229
29,302,130,1,4847,112,76.1121537043158,16,7.916999884533516
30,589,172,34,7768,92,16.0071634954573,44,5.488386567200587
31,59,2,17,6803,81,46.15574744197899,18,6.129001608619492
32,673,102,13,7648,95,0.9331619827093296,41,2.2614705158994077
33,540,35,19,8003,8,24.667886452162303,34,8.469187280885599
34,621,98,17,6017,104,72.64617151130048,45,4.286305469704757
35,69,30,9,5552,25,99.18099513493634,25,1.4095962752176927
36,176,116,24,9102,73,9.917809958721591,4,6.641879145054173
37,211,8,1,6366,66,40.14943158612883,28,2.160904531853075
38,866,150,24,8443,79,80.00709686991596,36,0.9756251023929974
39,155,44,32,7390,50,20.403563462889885,19,8.619869084042723
40,924,186,35,2395,67,55.50849493022862,48,4.601622644884396
41,685,36,30,4278,49,73.30712960296748,20,7.492837126957764
42,979,197,13,681,36,61.5985450260179,9,2.9058755980635507
43,448,77,0,173,68,18.802473461541613,4,7.869701349176664
44,251,31,45,8666,78,35.538456868573945,35,1.1193592702153032
45,590,47,15,4602,105,78.37917844853972,5,3.559733737948527
46,696,55,45,4805,41,55.42265141320166,25,9.780618179735285
47,570,106,2,4808,89,0.5229613542912737,3,7.939897163680061
48,492,190,34,6046,119,76.09907600280938,38,4.972559303146882
49,117,158,40,2365,62,3.531135494023907,38,3.397774715618851
50,235,121,5,5897,114,74.57337827312321,49,8.721357000224765
51,682,55,24,7971,10,20.24805601652374,34,5.448477590845156
52,640,144,12,5837,21,95.80734801193802,0,7.584250178691111
53,670,12,33,8747,36,36.79407513020845,23,7.541076803161641
54,986,145,7,4729,12,32.69316163380791,35,0.1794567856849183
55,671,144,20,603,91,14.888805033244468,5,1.2625378279261346
56,441,140,33,4849,104,30.560421549021488,40,6.596293663947423
57,814,136,3,7404,2,87.66507618282006,45,1.6161981128587144
58,664,3,24,9661,118,99.63343376272474,43,2.554933446556047
59,428,144,14,3503,13,36.83095305068483,30,9.466379541996071
60,997,30,3,6174,53,44.861063095454256,19,5.601822583749119
61,464,23,44,2682,32,72.2070938202737,23,7.5072950699934715
62,169,92,11,4210,95,88.61957804650746,24,5.579807387826399
63,532,115,31,26,16,59.304433418678414,35,5.5251361478272525
64,659,104,31,3201,32,39.15256981778293,20,0.941519101256979
65,978,118,27,402,32,41.262184084862376,29,3.4366319260910307
66,599,5,12,8626,98,69.56181464968068,23,2.824308986865117
67,86,104,30,6282,11,0.32182636042786816,43,3.9072836561361326
68,518,108,13,581,10,61.95893374598407,41,7.983441882243283
69,450,65,19,3641,15,35.54930104413574,29,3.7193266791686486
70,263,121,17,6182,17,79.41973312770843,21,4.516968192316827
71,930,30,28,9322,40,9.299063982313216,27,3.973813904853165
72,779,149,5,7187,18,58.82022669483905,6,0.934079719752956
73,329,84,31,8443,55,48.09728898861238,34,4.410721582507837
74,812,198,28,3907,73,64.23255259052274,27,1.9560927304451503
75,272,150,42,8133,25,6.485359448296835,13,1.8672329577304148
76,606,32,1,2289,104,57.99837874281313,9,0.9403610443426635
77,667,161,22,8990,59,56.14845879595237,15,3.5667097414176476
78,844,16,18,7461,78,56.06600944161709,15,7.574818847894173
79,563,38,30,8916,89,60.34876665964548,30,2.7644169058339605
80,383,142,4,785,114,67.64679372263622,41,3.1234910188551357
81,646,36,18,6879,22,80.49889996807697,24,6.426746576724236
82,176,151,33,2257,116,26.982072012821433,12,1.9584081258691888
83,946,114,9,7098,30,82.5049410180062,5,8.969579304235344
84,762,66,24,88,84,49.82556822634536,43,5.201905232515545
85,468,105,1,8090,85,7.705827913433117,8,4.47602940320217
86,289,85,10,7109,44,5.85509292439792,44,5.578201919292014
87,709,2,49,3936,32,33.42383186960608,35,1.6603431341619546
88,311,193,30,9057,51,78.48969771114676,42,6.134731386391763
89,540,75,14,7350,46,70.76809347409157,19,3.6310073663401043
90,589,67,8,7093,113,78.86149646724064,17,8.97186340964619
91,227,180,22,6240,21,51.72690564416094,42,1.6885420667768614
92,111,190,18,9233,99,44.01989979554906,20,5.070511038654411
93,563,151,8,4950,32,14.745252670628394,3,5.9811262936901795
94,297,154,34,3281,94,32.81927536093116,49,0.33383601786381223
95,176,196,20,3466,119,43.40193661738753,32,3.636931247561402
96,630,55,8,7798,39,8.860042967961723,26,7.326352347008328
97,45,6,27,8609,113,22.061195271121125,6,8.203775074489734
98,753,163,45,7660,12,59.82252940637388,5,3.1316199481728235
99,750,150,6,2721,105,73.56631142391899,14,7.985932723827513
100,362,171,15,1678,47,99.83475113929497,17,9.677558771033889
