date,visitors,clicks,conversions,conversion_rate
2023-01-01,1360,203,28,0.020588235294117647
2023-01-02,4272,871,134,0.03136704119850187
2023-01-03,3592,749,92,0.025612472160356347
2023-01-04,966,59,5,0.005175983436853002
2023-01-05,4926,707,62,0.012586276898091758
2023-01-06,3944,814,62,0.015720081135902637
2023-01-07,3671,645,120,0.03268864069735767
2023-01-08,3419,903,151,0.0441649605147704
2023-01-09,630,135,26,0.04126984126984127
2023-01-10,2185,198,6,0.002745995423340961
2023-01-11,1269,85,12,0.009456264775413711
2023-01-12,2891,608,114,0.03943272224143895
2023-01-13,2933,166,7,0.002386634844868735
2023-01-14,1684,330,7,0.004156769596199525
2023-01-15,3885,1107,166,0.04272844272844273
2023-01-16,4617,895,106,0.02295863114576565
2023-01-17,3404,500,84,0.024676850763807285
2023-01-18,974,205,7,0.007186858316221766
2023-01-19,1582,260,41,0.025916561314791402
2023-01-20,3058,570,27,0.00882930019620667
2023-01-21,2547,726,29,0.011385944248135061
2023-01-22,3247,475,19,0.005851555281798583
2023-01-23,1475,428,70,0.04745762711864407
2023-01-24,2306,637,86,0.0372940156114484
2023-01-25,689,68,7,0.010159651669085631
2023-01-26,3234,217,16,0.004947433518862091
2023-01-27,3505,263,46,0.013124108416547788
2023-01-28,2399,130,10,0.004168403501458941
2023-01-29,1767,130,21,0.011884550084889643
2023-01-30,2028,447,41,0.02021696252465483
2023-01-31,3702,250,20,0.005402485143165856
2023-02-01,4056,526,51,0.01257396449704142
2023-02-02,4390,1146,77,0.01753986332574032
2023-02-03,1146,63,9,0.007853403141361256
2023-02-04,3388,859,90,0.026564344746162927
2023-02-05,2935,353,19,0.006473594548551959
2023-02-06,1100,87,15,0.013636363636363636
2023-02-07,2863,641,53,0.01851205029689137
2023-02-08,2561,530,60,0.02342834830144475
2023-02-09,741,199,36,0.048582995951417005
2023-02-10,2541,594,76,0.029909484454939
2023-02-11,3324,833,26,0.007821901323706379
2023-02-12,3112,375,70,0.02249357326478149
2023-02-13,1863,175,22,0.011808910359634998
2023-02-14,1978,470,34,0.017189079878665317
2023-02-15,3056,769,28,0.009162303664921465
2023-02-16,1275,379,60,0.047058823529411764
2023-02-17,4514,691,88,0.01949490474080638
2023-02-18,534,76,8,0.0149812734082397
2023-02-19,3652,891,160,0.04381161007667032
2023-02-20,2455,331,52,0.021181262729124236
2023-02-21,2085,589,22,0.010551558752997603
2023-02-22,4443,1175,81,0.01823092505064146
2023-02-23,3573,561,32,0.008956059333893087
2023-02-24,1521,361,54,0.03550295857988166
2023-02-25,3961,945,15,0.0037869224943196163
2023-02-26,3113,235,27,0.008673305493093478
2023-02-27,4343,1197,185,0.04259728298411237
2023-02-28,2000,352,62,0.031
2023-03-01,661,169,12,0.018154311649016642
2023-03-02,4797,623,103,0.02147175317907025
2023-03-03,2481,679,21,0.008464328899637243
2023-03-04,1495,220,37,0.024749163879598662
2023-03-05,3842,202,6,0.0015616866215512754
2023-03-06,4298,1187,101,0.023499302000930665
