날짜,방문자 수,회원 가입 수,전환 수,매출 (원),고객 획득 비용 (원),고객 유지율 (%)
2024-01-01,1394,410,27,24196181.42,47746.76,67.01
2024-01-02,4661,229,139,44513051.85,35080.77,35.79
2024-01-03,1947,52,175,8204918.76,12391.52,42.73
2024-01-04,2758,300,31,36308989.04,11506.88,79.48
2024-01-05,3104,176,43,34759428.07,48318.64,56.63
2024-01-06,3563,448,172,19912378.57,40075.55,71.59
2024-01-07,1799,220,148,41127591.86,10733.45,66.13
2024-01-08,1576,456,102,29750421.54,34512.05,72.91
2024-01-09,3140,84,93,7530464.1,5719.69,31.83
2024-01-10,1302,279,106,3311544.75,38481.14,46.24
2024-01-11,2450,216,173,43688011.77,5219.07,75.87
2024-01-12,4256,481,65,6809761.41,19667.77,34.76
2024-01-13,4485,464,39,26115941.26,33879.7,35.31
2024-01-14,2985,77,130,8390453.84,19171.23,47.37
2024-01-15,4932,309,117,28874569.04,47584.17,37.39
2024-01-16,4487,311,14,45414837.83,10326.58,63.45
2024-01-17,4503,380,88,42045602.01,7524.24,32.58
2024-01-18,4257,310,116,23360265.4,10991.33,84.09
2024-01-19,1476,494,48,7191673.23,7746.72,87.16
2024-01-20,4819,215,134,48301144.91,33055.57,49.6
2024-01-21,614,368,170,9385489.61,8048.95,38.08
2024-01-22,1987,59,186,43629177.93,30761.3,83.72
2024-01-23,4158,57,73,33580605.23,8841.61,35.58
2024-01-24,4771,296,193,20120372.11,30217.43,30.99
2024-01-25,4536,355,17,42076568.98,6650.15,68.39
2024-01-26,2097,446,160,16154467.19,12362.02,55.15
2024-01-27,1270,94,171,39660995.18,32932.12,55.24
2024-01-28,3604,64,87,12815452.52,36969.45,59.16
2024-01-29,2537,414,137,10471671.16,5409.81,67.07
2024-01-30,3260,131,90,32104295.82,43902.2,31.53
