Trial Days,Email Interaction,App Usage (hours),Previous Purchase,Subscribed
7,1,9.972555347683944,0,1
20,1,8.966102629740208,0,1
29,6,5.7599841780566,1,1
15,5,9.173956130855316,1,1
11,2,0.05300006397605417,0,0
8,8,9.750671629451425,1,1
29,9,4.907487792587845,0,1
21,5,7.228960966217757,1,1
7,9,8.208614731533526,0,1
26,9,7.184572708365536,1,1
19,5,5.350367320449106,1,1
23,0,4.76619484126412,0,0
11,3,8.385825587026247,1,1
11,9,2.050775601494591,1,1
24,5,9.679940665042343,0,1
21,5,7.109524788367483,1,1
4,4,1.9950692733831976,0,1
8,0,7.362471836984882,0,1
24,7,5.298400231811167,1,1
3,4,7.072300956444445,1,1
22,4,7.677795014428388,1,1
21,6,0.8729017958967544,1,1
2,3,5.06103956359347,1,1
24,5,9.320143422569341,1,1
12,3,3.206421921595143,1,1
6,2,5.938830975578988,0,1
2,6,3.6923048150989612,1,1
28,7,4.5426797221909965,0,1
21,3,5.486031179381532,1,1
1,1,5.489219798889772,1,1
12,9,2.0173046233023584,0,1
26,2,6.845715478798333,1,1
22,0,0.8786811124265681,1,0
29,7,1.3882477344202038,0,0
12,2,0.027108994143296705,1,1
25,9,1.1669606414168132,1,1
17,6,4.731662010518923,1,1
27,9,6.061018810558386,0,1
27,4,7.942894499664624,1,1
10,9,1.0669925011343606,1,1
28,4,8.507274600164546,1,1
28,6,7.4597452554871815,1,1
16,8,4.085182929359169,0,1
15,4,9.329380670999546,0,1
15,0,9.909294764573906,1,1
19,9,2.0500181005323723,1,1
12,9,3.792285849638004,0,1
23,0,9.26449423589711,0,1
20,1,7.215965507512772,1,1
25,5,0.4809464396408769,0,1
3,8,7.815144817514149,1,1
5,7,8.279408871774919,0,1
19,4,7.505019247653135,0,1
7,0,7.995371309195156,0,1
21,6,8.251326766927972,0,1
9,4,1.864049867881441,1,1
7,5,2.3569174606499974,0,1
18,6,6.337585637201773,0,1
4,2,9.07866130462516,1,1
25,9,3.1619658229649463,0,1
28,2,5.883066757950567,0,0
14,4,6.829820634171324,1,1
18,5,4.519486012990392,0,1
26,8,7.13782454855326,1,1
9,4,8.99667445292173,1,1
26,0,6.2410154418183765,1,1
21,3,5.39781061914633,1,1
2,4,4.38744675388339,0,1
20,9,5.7748627090612565,1,1
28,9,3.553624518183959,0,1
15,4,3.9148211020150194,0,0
28,6,5.31857479688174,0,1
7,3,0.6661911239081697,0,0
12,0,2.2902539092479635,0,0
29,4,5.4284931061340895,0,1
8,6,4.315281431364426,0,1
15,9,3.328157859124843,0,1
3,9,7.305491368093015,0,1
14,5,6.937176074033385,0,1
17,4,1.6673075999338316,1,1
4,3,8.786291153734382,1,1
18,1,4.954236264039657,1,1
8,3,7.414609111390455,0,1
4,9,5.731508492573887,1,1
2,9,9.976926159238433,1,1
6,2,7.524031200388227,1,1
22,9,7.069804612434591,0,1
10,0,7.785719390507511,0,1
4,7,1.4312798554846962,0,1
22,4,2.0454459316946325,0,0
29,3,7.140640822236142,1,1
18,7,4.939814871308626,1,1
26,6,7.5463529186011655,1,1
12,1,1.0291603074414502,1,1
2,0,5.364813514845947,0,1
10,3,3.7882156555691573,0,0
4,7,4.5700021928167835,0,1
