Promotion Exposure,Cart Items,Discount Rate (%),Loyalty Member,Used Promotion
10,6,14.161026989586219,0,1
5,5,5.454077301006112,0,1
2,6,24.68668669736944,0,1
16,7,44.72304713030399,0,1
2,5,7.335542461428906,1,1
10,1,13.600341927320118,0,1
2,8,18.95380422542398,0,1
16,4,37.92761314538958,0,1
16,9,33.82860167611639,0,1
19,6,23.717475706183478,1,1
7,1,39.158102266626905,0,1
12,3,32.43339552456059,0,1
15,3,45.32183598457486,0,1
8,4,41.811203711241184,0,1
6,6,16.376612274014025,1,1
10,7,17.21473599353901,0,1
3,4,10.641041410657353,1,1
19,6,20.16341265728554,0,1
17,1,49.97947634235924,1,1
7,8,23.258802587677746,1,1
4,7,14.921979561009788,0,1
14,9,39.311729801399885,0,1
15,3,29.411195155819524,1,1
8,2,11.732065228712864,1,1
15,1,22.13103565223896,0,1
14,3,23.651137199270448,1,1
9,5,38.92233652561484,1,1
8,2,5.930211600135701,1,1
17,3,17.10588410592397,0,1
2,4,28.29183355919849,1,1
3,7,17.098103410377952,1,1
8,3,33.27953213385495,1,1
12,9,26.684036567357747,0,1
1,8,21.27696146868113,0,1
10,4,47.71438820917305,1,1
3,1,33.44717746339059,0,1
6,1,10.847361752057356,1,1
7,1,30.204126384952797,0,1
18,1,40.13293339404054,0,1
11,8,36.88203638717588,1,1
19,3,12.744015318286673,0,1
5,6,48.75889995680465,0,1
19,3,25.19661405859727,0,1
11,5,12.156125168311759,1,1
12,7,13.108808935766657,0,1
10,2,9.420574648508623,0,1
8,6,41.158314879572046,1,1
9,6,10.49137224448319,0,1
4,3,10.630636571378613,0,0
5,6,43.2712226642377,0,1
8,5,20.507183800140183,0,1
9,2,6.38860569386326,0,1
15,9,7.33528847832849,1,1
15,8,11.397670101675299,1,1
16,3,14.602700658906029,0,1
14,8,34.93157874072824,0,1
8,9,12.079682600082272,0,1
18,3,10.34934760296824,1,1
10,3,39.41236136643256,1,1
6,2,35.19748777369615,0,1
12,8,24.58958996548563,0,1
2,1,29.718939716604677,1,1
7,8,19.03928091468883,0,1
16,7,26.71251891059123,1,1
3,7,27.80026920422356,1,1
13,3,22.425677203014317,0,1
3,1,45.79574948024732,1,1
18,4,5.7227839241452765,0,1
11,9,40.197706839106075,0,1
8,5,10.597227405859595,0,1
6,1,40.889631224173975,0,1
1,5,32.716036205452454,0,1
1,8,42.94751409213811,0,1
8,8,9.388144653840385,1,1
5,5,30.154128534489832,1,1
16,9,27.54895461179887,1,1
11,1,36.778693233351134,1,1
5,4,29.04307483521541,0,1
4,3,29.33305552098969,1,1
6,2,24.33181746092291,1,1
14,8,18.897549080330336,1,1
19,7,26.701896256348647,0,1
9,9,10.332156144578025,1,1
12,2,48.26810025423882,0,1
11,4,37.14848436319692,1,1
14,6,47.8610202509531,0,1
16,3,15.202732204848347,0,1
1,8,44.57034590794376,1,1
13,3,41.39554930535923,0,1
13,2,35.471858560595315,0,1
2,3,33.12631337383426,1,1
4,6,19.244734937054147,1,1
6,2,41.73848532342638,1,1
5,8,27.568195766588023,0,1
3,1,8.19012091510784,0,0
1,7,19.07884223848085,0,1
4,2,47.08836943453974,1,1
2,6,43.28061172721808,0,1
5,2,49.18575641344426,0,1
3,2,33.25970221718441,0,1
9,8,16.13795329131854,0,1
6,2,12.32667723545887,0,1
18,7,13.411149827380774,0,1
6,3,5.890804625626448,0,1
19,8,22.580694994367263,1,1
12,7,13.614245622479412,1,1
11,8,23.52449572055161,1,1
2,7,47.07474943274444,0,1
15,6,24.374309427823547,0,1
12,7,44.50930236431757,1,1
12,5,32.24771449771444,0,1
9,7,16.120919959762638,1,1
2,1,21.013464166664512,0,0
3,1,8.776379111964324,0,0
12,9,20.005816711820472,1,1
16,5,35.489342547659035,1,1
1,5,8.244999181824584,1,1
3,3,14.24306338151132,1,1
2,5,22.164846863599017,1,1
9,3,49.19222916571832,0,1
19,9,40.31878203314961,0,1
15,9,38.006903592144674,0,1
18,6,10.22859304364507,1,1
11,1,40.144815212674615,1,1
16,7,40.33709651822068,1,1
17,7,32.04962130309477,1,1
5,4,49.56628018992674,1,1
12,8,19.636425766604837,1,1
11,6,47.35726017088332,0,1
15,4,46.162900173042665,0,1
3,4,5.516629688722003,0,1
1,2,25.2552436913665,0,1
16,2,48.969690487320804,0,1
2,4,9.64046130836341,1,1
2,5,29.650311247249377,1,1
3,8,49.05308781684968,1,1
8,6,29.99729408476371,1,1
15,4,13.54168863374702,1,1
7,7,31.198245354166538,1,1
6,8,14.199825827729608,0,1
9,2,28.38669183025179,1,1
1,7,8.33189980605566,1,1
8,2,32.24672011464821,1,1
3,2,28.25554726076712,1,1
4,8,38.30726159426584,0,1
15,2,33.38152120214532,0,1
6,9,29.73228208388405,1,1
15,1,36.04004821616545,0,1
3,9,11.477386110750388,0,1
14,1,31.791184756637183,1,1
14,2,12.744977127024995,1,1
4,6,46.64849935333464,1,1
12,6,8.075034718052189,1,1
17,1,24.366863736085698,1,1
7,7,36.31088649449502,0,1
9,8,25.610999525071644,1,1
3,2,9.144286395480606,1,0
13,8,29.902055725701832,1,1
15,9,33.873435897230955,0,1
18,6,36.670653994572845,1,1
19,5,21.79669165082415,1,1
1,9,30.364698696294298,1,1
6,9,25.28089137225109,0,1
2,1,35.2425217438514,1,1
14,3,31.260063529616833,1,1
6,9,28.659029880161068,1,1
14,2,16.22859650772119,0,1
4,4,5.0908332986705265,1,1
8,4,12.833675389014317,1,1
3,2,10.267971864087588,1,1
19,3,25.208813525492605,0,1
14,3,32.55161678428301,1,1
17,1,14.588825390816368,1,1
8,6,47.25756931852342,1,1
14,8,5.30069581507495,0,1
6,3,39.75354568244043,0,1
16,5,33.1342146288699,1,1
19,1,21.809966047145686,0,1
14,7,7.272002498558356,0,1
19,1,33.236895730292574,0,1
3,9,22.352608078954162,1,1
10,8,47.13202127359486,1,1
19,7,29.389553370039465,0,1
9,7,47.28431800820787,0,1
13,5,14.921766206298685,0,1
7,5,37.65766596638465,1,1
14,5,32.77620593819266,1,1
9,1,38.27337034240903,0,1
19,8,14.660053878764156,0,1
15,1,34.92475323069982,0,1
14,4,27.411817687559104,0,1
6,9,38.42712387078423,1,1
4,9,19.7170089868318,0,1
8,5,45.05256614593637,1,1
17,4,8.793559157510767,0,1
9,3,41.323519345603465,0,1
1,3,43.75938316167909,0,1
14,5,41.77635401150695,0,1
11,1,28.07268774177992,0,1
3,5,24.72732410138426,1,1
9,6,49.831802893619454,0,1
14,7,15.312737804637296,0,1
9,9,29.609418464422006,0,1
4,3,35.18039864220465,1,1
4,2,36.539043613764434,1,1
8,3,14.181109958236041,1,1
2,9,34.42973415529106,1,1
9,7,41.826630491660175,0,1
14,9,7.25083595695005,0,1
9,2,46.01845819963924,0,1
16,5,6.327682481534267,1,1
17,4,21.018696461977747,0,1
16,2,5.711593830483293,0,1
12,9,8.471532584281185,1,1
3,9,46.00257283310356,1,1
11,6,20.968737383576652,1,1
14,6,24.11471886912738,0,1
18,8,14.690497162214868,0,1
5,6,31.86930965840239,1,1
16,1,31.766144660500533,0,1
5,4,21.749017632134866,1,1
3,7,19.986569231242925,1,1
12,2,44.82339386812645,0,1
1,9,22.247790783899063,1,1
9,8,27.20754464694837,1,1
9,8,17.74871430912188,1,1
4,7,40.40462765107073,0,1
3,4,22.885167060459125,1,1
17,2,28.112497094494604,1,1
2,3,16.401072652684764,1,0
1,6,49.44468165535633,1,1
8,5,18.11730834156753,1,1
13,8,39.683413890749826,1,1
15,6,24.237304266054164,1,1
8,6,14.279783228786295,0,1
12,1,40.987344378418754,0,1
12,4,20.012305506306944,1,1
14,5,43.9337006329015,0,1
15,3,46.186573321302035,0,1
15,9,43.69207259260742,1,1
9,1,6.575356166306254,0,1
19,6,40.431800525229754,1,1
8,6,23.510275992461473,1,1
19,5,44.31753140820013,1,1
6,5,33.70794182081325,1,1
19,5,42.51394103647813,1,1
4,6,27.47442964400759,0,1
7,8,29.07614770695198,1,1
4,2,11.497443446015026,0,1
12,6,40.27943114102099,1,1
13,1,23.872532525013725,1,1
3,4,27.50360532222122,1,1
12,3,40.329397134306845,0,1
2,9,31.948043003574753,1,1
2,3,14.049442734920035,1,1
9,6,31.560469661790172,1,1
1,1,23.34347860908451,1,1
8,6,26.12864939197382,0,1
6,4,6.27400734812005,1,1
6,8,14.451320728232671,0,1
18,9,17.646713662146272,1,1
17,4,37.08320035364626,0,1
12,6,5.517161298415189,0,1
6,1,23.394976755310942,1,1
8,4,46.58120916915798,1,1
19,7,10.034627744710573,0,1
10,1,28.239097469837496,1,1
1,8,40.393507207588115,1,1
13,6,47.41390883840525,1,1
17,5,38.604948779017306,0,1
3,9,37.42544968899828,1,1
8,2,42.19196405880931,1,1
14,5,25.079054943989465,1,1
3,6,41.26300396780249,0,1
16,7,5.358398213545301,1,1
13,5,46.60524749195622,0,1
17,9,24.94879292827289,1,1
13,1,29.902108453958643,0,1
6,7,16.469701201169705,1,1
17,7,38.41388747781897,1,1
14,4,8.448611291386197,0,1
17,9,44.26861111460759,0,1
8,5,42.265257305285424,0,1
11,4,14.722705231014487,1,1
1,7,41.41959792283681,1,1
7,4,40.38609798776667,1,1
17,3,33.44974689892771,1,1
10,9,21.80840796048594,0,1
11,8,17.217443938184054,1,1
9,1,15.430261563020752,1,1
9,7,19.33740332436232,1,1
5,9,45.66012995446386,1,1
17,8,8.493834919495157,1,1
9,8,42.29920743138314,1,1
17,6,20.70005337688206,1,1
19,4,28.47197282051112,0,1
7,8,40.75185351418208,1,1
9,3,44.796944616033706,1,1
7,9,20.515163903269116,1,1
13,2,25.782956657379966,1,1
11,2,23.653222916755652,0,1
14,7,5.596296507675975,0,1
19,4,18.317429998639547,0,1
11,8,25.663515517965283,0,1
13,9,23.49921239961979,0,1
14,7,37.48681523820557,0,1
13,5,22.316162774949646,1,1
1,8,27.02194020368016,0,1
8,4,24.33238664595635,0,1
12,2,38.32817670024667,1,1
19,6,43.833757954413315,0,1
12,9,28.935008555338136,1,1
8,1,40.524448738783605,1,1
8,7,18.355400690893276,0,1
13,9,29.361632457077093,1,1
12,9,20.535347915148762,0,1
16,3,23.639041650732363,0,1
1,5,37.95862391657008,1,1
13,8,44.67481170497207,1,1
7,8,10.467292598949443,0,1
5,4,33.55876654193212,1,1
8,1,31.196471341000933,1,1
14,1,10.328676762916935,0,1
13,4,14.53524486980491,0,1
15,6,18.99511226297061,1,1
17,8,12.511898186787565,0,1
15,6,15.96782671359538,0,1
18,9,17.04203594877684,0,1
18,9,20.105322486757682,0,1
2,2,38.722570376052154,0,1
4,1,30.73604917327703,0,1
1,2,49.381100237813065,0,1
4,5,23.663112213536195,1,1
18,4,38.923928322661624,0,1
5,4,44.21607896194402,1,1
19,9,35.554032186711886,1,1
15,8,23.53391331878732,1,1
8,6,38.91175838355888,0,1
17,1,14.165021199770818,0,1
1,2,19.739847433105957,1,1
12,6,29.600836479467993,0,1
19,2,30.893422427876676,1,1
15,5,5.996366396268326,0,1
9,5,47.53013849402039,0,1
