고객ID,가입일,구독기간(개월),구독상태,서비스이용횟수,월평균이용시간(시간),결제금액,할인사용여부,추천가입여부,고객유형
1,2022-01-01,29,1,38,9.363541232700559,22287.43755872686,1,0,일반
2,2022-01-02,15,0,35,13.05517124137782,19020.532643116792,1,0,일반
3,2022-01-03,8,0,45,10.450113521133597,23032.13548966129,1,0,VIP
4,2022-01-04,21,1,16,20.3675822654943,17342.778845295026,1,1,일반
5,2022-01-05,19,1,8,23.612215964008808,9937.269617428625,0,0,일반
6,2022-01-06,23,1,47,22.23873810266593,16117.886787513384,1,0,프리미엄
7,2022-01-07,11,1,17,22.253318887478027,21010.012692340053,0,1,일반
8,2022-01-08,11,0,17,36.709917152886106,14336.323986769139,0,0,프리미엄
9,2022-01-09,24,1,26,24.23683599627155,13567.832407471406,0,1,일반
10,2022-01-10,24,1,13,27.839642478892472,17419.267014820613,0,1,일반
11,2022-01-11,3,0,17,15.853842502230272,12202.468672274026,1,0,VIP
12,2022-01-12,22,1,38,29.44006142661491,16477.502415567502,1,0,일반
13,2022-01-13,2,1,17,15.376474762066781,15317.507323357284,1,1,프리미엄
14,2022-01-14,24,1,48,24.114483275885902,12547.927696257897,0,0,일반
15,2022-01-15,30,1,14,6.286331318176174,,1,0,일반
16,2022-01-16,2,1,45,21.662341319881218,18229.93969475387,1,0,프리미엄
17,2022-01-17,21,1,6,10.246197648306625,13231.64707856687,0,1,일반
18,2022-01-18,33,0,35,29.360356544839075,14925.193675299632,0,1,일반
19,2022-01-19,12,1,46,28.758764619987844,13643.622000760815,1,0,일반
20,2022-01-20,22,1,14,15.333726124409072,11806.761803785237,1,0,일반
21,2022-01-21,25,0,47,40.4957492862454,6508.65163796482,1,1,프리미엄
22,2022-01-22,27,1,8,17.14121703806525,12580.86127821964,1,1,프리미엄
23,2022-01-23,28,1,15,3.8798109932747273,11879.862508421886,0,0,프리미엄
24,2022-01-24,16,1,27,12.208820296373199,15574.453539176795,0,0,프리미엄
25,2022-01-25,15,1,13,9.558589776421492,17203.494007641228,1,1,일반
26,2022-01-26,3,1,49,23.796021017862547,10989.076650985575,0,1,일반
27,2022-01-27,7,0,31,7.646369733275476,16867.486808635025,1,1,프리미엄
28,2022-01-28,21,0,35,14.607859841937547,10218.771085666625,1,1,일반
29,2022-01-29,9,0,6,23.1455217053677,14373.537421807725,1,1,일반
30,2022-01-30,18,1,5,21.386458947118026,11987.904496695834,1,0,VIP
31,2022-01-31,4,1,22,19.873561876582205,18730.868190395217,0,1,일반
32,2022-02-01,25,0,49,21.260005190440673,15583.865499972992,1,1,일반
33,2022-02-02,14,1,23,16.294999024923456,14449.160370841104,1,1,일반
34,2022-02-03,9,1,25,3.9624794433366937,11873.751199425575,1,0,프리미엄
35,2022-02-04,26,1,34,16.03161779255355,13355.793458117305,1,0,일반
36,2022-02-05,2,1,26,24.687497843152855,24145.304061630257,0,1,일반
37,2022-02-06,20,0,47,18.630650113905958,12494.57939638727,1,0,VIP
38,2022-02-07,28,1,5,23.914883731305007,17397.034587982416,1,0,프리미엄
39,2022-02-08,7,1,26,14.132169704905147,14436.768415561555,0,1,프리미엄
40,2022-02-09,8,1,20,29.94336079877929,17254.12657287019,1,0,일반
41,2022-02-10,35,1,6,5.563178674713338,19184.879363466192,1,1,일반
42,2022-02-11,14,1,6,21.414405129233547,13230.107533394617,1,1,일반
43,2022-02-12,17,1,18,33.48880347121278,18548.867132225616,0,0,일반
44,2022-02-13,4,0,4,34.97698516041463,28783.197385029198,1,1,일반
45,2022-02-14,2,1,17,17.681738307575248,17837.699970958525,1,1,일반
46,2022-02-15,6,1,14,6.738018443571159,23067.90732299898,1,0,일반
47,2022-02-16,4,1,14,33.66472842343359,17405.23000053307,0,0,프리미엄
48,2022-02-17,29,0,13,19.481348331944393,10340.191889012469,0,1,프리미엄
